sim_number,EIG_kids,EIG_adults
285,0.5239874083322155,0.721190922599105
286,0.6493128731969472,0.6466322857415397
287,0.6221915565403994,0.6845367770150252
288,0.5814398203843976,0.6474290948883499
289,0.6119090978271622,0.6306316463363622
290,0.5655043036563032,0.6283606379473333
291,0.6015003842795671,0.5851278732881766
292,0.6141729080832488,0.6138356269474708
293,0.6134583837502343,0.7205467196564521
294,0.6077094419004452,0.6600413141232505
295,0.5910470456992241,0.7042010714471209
296,0.6017555341677285,0.6931600259696844
297,0.6119865206452062,0.6404916757155148
298,0.5602947415548071,0.6447110247323761
299,0.6329351260365951,0.7035260166196462
300,0.6225407337373318,0.6822867503294018
301,0.6098460120774407,0.7073856761400272
302,0.5866737497150668,0.7217814703415487
303,0.5852719081136732,0.6795940061443025
304,0.6118409052839815,0.702083497016169
305,0.5716274312583096,0.7488590640219613
306,0.6626677469445353,0.6471253273876335
307,0.6146118415961783,0.6334134615781356
308,0.5506281003564454,0.694170748556372
309,0.6127539378086255,0.6745966275334322
310,0.6077116050377043,0.7215474410497631
311,0.581884216371639,0.6695988712340567
312,0.542046664578406,0.6684784514234106
313,0.5752120884292095,0.699082934970489
314,0.5988309136587121,0.6118671627254008
315,0.6051492430902562,0.6258232250290084
316,0.5840326609974339,0.7143563035616284
317,0.6196447282116226,0.7964878407388007
318,0.6773047927552127,0.7068289761676624
319,0.6303093379960731,0.6668643090319457
320,0.6433263891230104,0.6180072231493308
321,0.6452153120868356,0.7254439977995577
322,0.580013601408338,0.7160726046655553
323,0.5745457783455932,0.7071793723074996
324,0.6007612758687527,0.6574752918885396
325,0.5819986603703298,0.7171902304800821
326,0.6428093656056508,0.7023760208402232
327,0.6359330407845278,0.7105405223818481
328,0.5680216683162506,0.6927649828659604
329,0.5875184434357154,0.5967782117656033
330,0.5938663750133593,0.6054575528433114
331,0.599549315854976,0.6564614583103922
332,0.6128062860984765,0.69623178426541
333,0.6128059050474073,0.7564495171637625
334,0.5925301895798992,0.6788618526553183
335,0.5992260463060605,0.6475454449010212
336,0.5820208230814634,0.6604727160538483
337,0.589504793497477,0.6874449078287551
338,0.5951468234979023,0.6807584562834121
339,0.6483813271902736,0.7415399040070955
340,0.5896325388590936,0.6846710845226096
341,0.650750493773767,0.6068214718517222
342,0.6052652065250806,0.7324353664917473
343,0.6308848087949389,0.6260490125515883
344,0.6332723039202858,0.5913411436997892
345,0.577588664656782,0.6252399551529932
346,0.5947299912470024,0.7137174736036661
347,0.622482927860077,0.5900233655098754
348,0.5909830145653101,0.7873575190385923
349,0.5739956093634325,0.6446012304327142
350,0.5635408933890539,0.74170848055202
351,0.569913470068752,0.6729132005521049
352,0.5995174212281499,0.6701357286517154
353,0.5908823220242848,0.6820226669963467
354,0.6234913464986803,0.7046781529874753
355,0.584335426880031,0.6920782034001148
356,0.6113835742486352,0.6624453002824849
357,0.5966862666935283,0.6444646071124847
358,0.6626034184473916,0.748271465403706
359,0.6037618848420775,0.6558836246735287
360,0.6994440138807899,0.762055784419916
361,0.6284524488551051,0.6793084092847608
362,0.5404726413672664,0.5867583831488542
363,0.573894094377286,0.7093100082414739
364,0.6309294207629836,0.7116833958590779
365,0.6201909658417057,0.6950856803294151
366,0.6067772908046216,0.6691436842526732
367,0.6380418835571424,0.7192572369972766
368,0.5930254850190813,0.7752575005640664
369,0.5891145841079476,0.6865278002867623
370,0.5330819077226062,0.6801089860945685
371,0.5953811348447261,0.7459123564430118
372,0.6423410559132094,0.6766764208749627
373,0.592267634878285,0.6435678579737191
374,0.5930981823820037,0.6260780399720633
375,0.6161328215865594,0.6496229596263059
376,0.5879417572773834,0.6892461694699137
377,0.5729489784414266,0.671287903567308
378,0.627870436368821,0.6921812606126917
379,0.6325170010987061,0.7297256188460994
380,0.6006830483795907,0.547600748663787
381,0.6286790903208401,0.6483340621654579
382,0.622571336986805,0.6222750003961744
383,0.5636307350857934,0.6266753862253414
384,0.6104175329072496,0.6542568269844534
385,0.6352746810494381,0.711607784700719
386,0.6077418914673146,0.7004134527967931
387,0.6371932654807888,0.6879177728975716
388,0.6240946371981358,0.7196134968462962
389,0.5814170680438997,0.6003001622936197
390,0.6119550834444784,0.6889944882666081
391,0.6238217361256153,0.6574725093640617
392,0.5652668867336731,0.6856929223528918
393,0.6026904502626236,0.5826144009603852
394,0.5734263136164999,0.6102622072887921
395,0.6228757205524772,0.7339289270202918
396,0.5713521439093512,0.6890714011068221
397,0.6286696085841819,0.622948897128227
398,0.5839889998715659,0.7831562311862034
399,0.5379596918057191,0.6730386016747621
400,0.6340153425414202,0.5954955339978538
401,0.6183543554560036,0.5756758385476175
402,0.6269433352662337,0.5803093629303795
403,0.5865970580051022,0.5905701402441722
404,0.5993349511532347,0.690651721137896
405,0.5841322199875854,0.5744248580549697
406,0.5693588398371242,0.7319702899010773
407,0.5843279115008326,0.6367876074676071
408,0.5933694936833608,0.6856088574486529
